\AidData TUFF Project ID;Recommended For Aggregates;Umbrella;Financier Country;Recipient;Recipient Region;Commitment Year;Title;Status;Intent;Flow Type;Concessional;Flow Class;Sector Code;Sector Name;Funding Agencies;Funding Agencies Type;Amount (Original Currency);Original Currency;Amount (Constant USD2017);Amount (Nominal)
66876;Yes;No;China (People's Republic of);Angola;Africa;2017;ICBC provides $1 billion loan to National Bank of Angola for unspecified purposes in January 2017;Pipeline: Commitment;Mixed;Loan;No;OOF-like;240;BANKING AND FINANCIAL SERVICES;Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank;1000000000;USD;1000000000;1000000000
66878;Yes;No;China (People's Republic of);Angola;Africa;2017;ICBC provides $1 billion loan to National Bank of Angola for unspecified purposes in December 2017;Pipeline: Commitment;Mixed;Loan;No;OOF-like;240;BANKING AND FINANCIAL SERVICES;Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank;1000000000;USD;1000000000;1000000000
67114;Yes;No;China (People's Republic of);Angola;Africa;2017;ICBC provides $405 million loan for Zaire Province Electrification Project (Linked to Project ID#43782);Implementation;Development;Loan;Vague;Vague (Official Finance);230;ENERGY;Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank;405053533;USD;405053533;405053533
67496;Yes;No;China (People's Republic of);Angola;Africa;2017;China Eximbank provides $65.3 million loan for Geological Survey Project;Implementation;Development;Loan;Vague;Vague (Official Finance);320;INDUSTRY, MINING, CONSTRUCTION;Export-Import Bank of China;State-owned Policy Bank;65300000;USD;65300000;65300000
67506;Yes;No;China (People's Republic of);Angola;Africa;2017;China Development Bank provides $35.3 million loan for construction of training center and installation of a database at Angola’s Ministry of Energy and Water;Pipeline: Commitment;Development;Loan;Vague;Vague (Official Finance);150;GOVERNMENT AND CIVIL SOCIETY;China Development Bank (CDB);State-owned Policy Bank;35300000;USD;35300000;35300000
67631;Yes;No;China (People's Republic of);Angola;Africa;2017;China provides Chinese language training for 22 Angolan police officers at Agostinho Neto University;Pipeline: Commitment;Mixed;Free-standing technical assistance;Yes;OOF-like;110;EDUCATION;Hanban (Confucius Institute Headquarters);Government Agency;;;;
67722;Yes;No;China (People's Republic of);Angola;Africa;2017;Chinese Embassy donates literacy supplies to Dos Santos Foundation;Completion;Development;Grant;Yes;ODA-like;110;EDUCATION;Chinese Embassy;Government Agency;;;;
67724;Yes;No;China (People's Republic of);Angola;Africa;2017;Chinese Embassy donates $30.000 of anti-malaria materials to Lwini Foundation in Angola;Completion;Development;Grant;Yes;ODA-like;120;HEALTH;Chinese Embassy;Government Agency;30000;USD;30000;30000
67727;Yes;No;China (People's Republic of);Angola;Africa;2017;Chinese Government dispatches 4th medical team to Luanda General Hospital;Completion;Development;Free-standing technical assistance;Yes;ODA-like;120;HEALTH;Unspecified Chinese Government Institution;Government Agency;;;;
68976;Yes;No;China (People's Republic of);Angola;Africa;2017;Chinese Government finances supply of equipment to Medical and Physical Rehabilitation Center in Huambo (Linked to #68977);Pipeline: Commitment;Development;Vague TBD;Vague;Vague (Official Finance);120;HEALTH;Unspecified Chinese Government Institution;Government Agency;;;;
68977;Yes;No;China (People's Republic of);Angola;Africa;2017;Chinese Government finances supply of equipment to Municipal Hospital of Cunene (Linked to #68976);Pipeline: Commitment;Development;Vague TBD;Vague;Vague (Official Finance);120;HEALTH;Unspecified Chinese Government Institution;Government Agency;;;;
68980;Yes;No;China (People's Republic of);Angola;Africa;2017;China's Peace Ark provides medical services to Angola;Completion;Development;Free-standing technical assistance;Yes;ODA-like;120;HEALTH;Unspecified Chinese Government Institution;Government Agency;;;;
73460;Yes;No;China (People's Republic of);Angola;Africa;2017;CDB provides $376 million loan for Sumbe City Integrated Infrastructure Construction Project (Lots 1-3);Implementation;Development;Loan;Vague;Vague (Official Finance);320;INDUSTRY, MINING, CONSTRUCTION;China Development Bank (CDB);State-owned Policy Bank;376000000;USD;376000000;376000000
73462;Yes;No;China (People's Republic of);Angola;Africa;2017;CDB provides $38 million loan for Malanje Youth House Construction and Equipping Project;Implementation;Development;Loan;Vague;Vague (Official Finance);160;OTHER SOCIAL INFRASTRUCTURE AND SERVICES;China Development Bank (CDB);State-owned Policy Bank;38000000;USD;38000000;38000000
73463;Yes;No;China (People's Republic of);Angola;Africa;2017;CDB provides $28 million loan for Malanje River Dredging Project;Implementation;Development;Loan;Vague;Vague (Official Finance);140;WATER SUPPLY AND SANITATION;China Development Bank (CDB);State-owned Policy Bank;28000000;USD;28000000;28000000
73559;Yes;No;China (People's Republic of);Angola;Africa;2017;China Development Bank provides loan for Zango V Water Supply Project;Implementation;Development;Loan;Vague;Vague (Official Finance);140;WATER SUPPLY AND SANITATION;China Development Bank (CDB);State-owned Policy Bank;;;;
54571;Yes;No;China (People's Republic of);Antigua and Barbuda;America;2017;China provides Antigua and Barbuda Emergency Medical Services with 175.000 USD worth of tools and equipment;Completion;Development;Grant;Yes;ODA-like;120;HEALTH;Unspecified Chinese Government Institution;Government Agency;175000;USD;175000;175000
60019;Yes;No;China (People's Republic of);Antigua and Barbuda;America;2017;China grants 25.000 smoke detectors to Antigua and Barbuda EMS;Completion;Development;Grant;Yes;ODA-like;150;GOVERNMENT AND CIVIL SOCIETY;Unspecified Chinese Government Institution;Government Agency;;;;
69492;Yes;No;China (People's Republic of);Antigua and Barbuda;America;2017;Chinese Government sponsors the Overseas Training Course on Agricultural Techniques for Antigua and Barbuda 2017;Completion;Development;Free-standing technical assistance;Yes;ODA-like;310;AGRICULTURE, FORESTRY, FISHING;China Ministry of Commerce;Government Agency;;;;
72483;Yes;No;China (People's Republic of);Antigua and Barbuda;America;2017;Chinese Government provides technical training for 35 officials and technicians from Antigua and Barbuda in 2017;Completion;Development;Scholarships/training in the donor country;Yes;ODA-like;110;EDUCATION;Unspecified Chinese Government Institution;Government Agency;;;;
72484;Yes;No;China (People's Republic of);Antigua and Barbuda;America;2017;Chinese Government provides 20 scholarships to students from Antigua and Barbuda in 2017;Completion;Development;Scholarships/training in the donor country;Yes;ODA-like;110;EDUCATION;Unspecified Chinese Government Institution;Government Agency;;;;
87791;Yes;No;China (People's Republic of);Antigua and Barbuda;America;2017;China grants $2 million USD through UNDP-China South-South Cooperation Assistance Fund for disaster recovery in Antigua and Barbuda;Pipeline: Commitment;Development;Grant;Yes;ODA-like;730;RECONSTRUCTION RELIEF AND REHABILITATION;Unspecified Chinese Government Institution;Government Agency;2000000;USD;2000000;2000000
54562;Yes;No;China (People's Republic of);Argentina;America;2017;China Development Bank extends $150 million USD line of credit to BICE to support SMEs;Completion;Mixed;Loan;Vague;OOF-like;430;OTHER MULTISECTOR;China Development Bank (CDB);State-owned Policy Bank;150000000;USD;150000000;150000000
54568;Yes;No;China (People's Republic of);Argentina;America;2017;$50 million ICBC loan to Empresa Distribuidora y Comercializadora Norte S.A. ;Implementation;Commercial;Loan;No;OOF-like;250;BUSINESS AND OTHER SERVICES;Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank;50000000;USD;50000000;50000000
54589;Yes;No;China (People's Republic of);Argentina;America;2017;ICBC participates in syndicated loan worth $230 million to UENSA S.A. and UGEN S.A.to ;Pipeline: Commitment;Mixed;Loan;Vague;OOF-like;230;ENERGY;Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank;;;;
54680;Yes;No;China (People's Republic of);Argentina;America;2017;ICBC contributes $36.25 million to $104 million syndicated loan for El Corti Wind Farm Project;Implementation;Development;Loan;Yes;ODA-like;230;ENERGY;Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank;36250000;USD;36250000;36250000
54783;Yes;No;China (People's Republic of);Argentina;America;2017;China Eximbank provides $331.5 million preferential buyer's credit for 312 MW Jujuy Caucharí Photovoltaic Power Plant Project (linked to #69556);Completion;Mixed;Export Buyer's Credit;Yes;OOF-like;230;ENERGY;Export-Import Bank of China;State-owned Policy Bank;331500000;USD;331500000;331500000
62557;Yes;No;China (People's Republic of);Argentina;America;2017;CDB Hong Kong Branch provides $300 million USD loan to Shandong Gold Mining Co., Ltd. for the acquisition of the Veladero Mine (linked to #85389, #69238, #69239);Completion;Commercial;Loan;No;OOF-like;320;INDUSTRY, MINING, CONSTRUCTION;China Development Bank (CDB);State-owned Policy Bank;300000000;USD;300000000;300000000
64951;Yes;No;China (People's Republic of);Argentina;America;2017;ICBC contributes to $130 million USD loan to Renova S.A. in Argentina;Completion;Mixed;Loan;Vague;OOF-like;310;AGRICULTURE, FORESTRY, FISHING;Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank;;;;
69238;Yes;No;China (People's Republic of);Argentina;America;2017;Bank of China loans $347.3 million USD to Shandong Gold Mining (Hong Kong) Co. Ltd for acquisition of 50% stake in Argentina Gold (Bermuda) II Ltd. and Minera Argentina Gold S.R.L. (linked to #62557, #69239);Completion;Commercial;Loan;Vague;OOF-like;320;INDUSTRY, MINING, CONSTRUCTION;Bank of China (BOC);State-owned Commercial Bank;347300000;USD;347300000;347300000
69239;Yes;No;China (People's Republic of);Argentina;America;2017;Bank of China loans RMB 1.126.9 million to Shandong Gold Mining (Hong Kong) Co. Ltd for acquisition of 50% stake in Argentina Gold (Bermuda) II Ltd. and Minera Argentina Gold S.R.L. (linked to #62557, #69238);Completion;Commercial;Loan;Vague;OOF-like;320;INDUSTRY, MINING, CONSTRUCTION;Bank of China (BOC);State-owned Commercial Bank;1126900000;CNY;166764178;166764178
86168;Yes;No;China (People's Republic of);Argentina;America;2017;Chinese Government Scholarship Program provides 25 scholarships to students in Argentina (2017-18);Completion;Mixed;Scholarships/training in the donor country;Yes;OOF-like;110;EDUCATION;China Ministry of Education;Government Agency;;;;
88039;Yes;No;China (People's Republic of);Argentina;America;2017;ICBC provides $9.6 million USD in debt financing to AES Argentina Generación S.A. for 675MW Central Térmica San Nicolás (CTSN) Thermal Power Plant and 845MW AES Paraná Thermal Power Plant;Implementation;Mixed;Loan;Vague;OOF-like;998;UNALLOCATED/UNSPECIFIED;Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank;9600000;USD;9600000;9600000
88167;Yes;No;China (People's Republic of);Argentina;America;2017;Bank of China provides loan for TANGO FLNG Project (Linked with project #88165);Completion;Commercial;Loan;No;OOF-like;320;INDUSTRY, MINING, CONSTRUCTION;Bank of China (BOC);State-owned Commercial Bank;100000000;USD;100000000;100000000
88190;Yes;No;China (People's Republic of);Argentina;America;2017;ICBC contributes $73.33 million to $220 million syndicated loan to Transportadora de Gas del Norte S.A. in 2017;Implementation;Commercial;Loan;Vague;OOF-like;240;BANKING AND FINANCIAL SERVICES;Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank;73330000;USD;73330000;73330000
88191;Yes;No;China (People's Republic of);Argentina;America;2017;ICBC contributes $18 million to $72 million syndicated loan to Compañía General de Combustibles S.A. (CGC) in 2017;Completion;Commercial;Loan;No;OOF-like;230;ENERGY;Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank;18000000;USD;18000000;18000000
66517;Yes;No;China (People's Republic of);Armenia;Asia;2017;Chinese Government provides RMB 100 million grant — via ETCA — for acquisition of 200 ambulances;Completion;Development;Grant;Yes;ODA-like;120;HEALTH;China Ministry of Commerce;Government Agency;100000000;CNY;14798489.49;14798489.49
66572;Yes;No;China (People's Republic of);Armenia;Asia;2017;Chinese Embassy partially funds Gyumri Smile Kindergarten renovation project;Completion;Development;Grant;Yes;ODA-like;110;EDUCATION;Chinese Embassy;Government Agency;;;;
87048;Yes;No;China (People's Republic of);Asia, regional;Asia;2017;PRC Poverty Reduction and Regional Cooperation Fund grants $5.15 million USD for 2017 Projects;Implementation;Development;Grant;Yes;ODA-like;430;OTHER MULTISECTOR;China Ministry of Finance;Government Agency;5150000;USD;5150000;5150000
65703;Yes;No;China (People's Republic of);Azerbaijan;Asia;2017;Chinese Government provides grant for Animal Quarantine Equipment Project;Completion;Development;Grant;Yes;ODA-like;310;AGRICULTURE, FORESTRY, FISHING; China International Center for Economic and Technical Exchanges (CICETE) ;Government Agency;;;;
65733;Yes;No;China (People's Republic of);Azerbaijan;Asia;2017;Hanban establishes Chinese Language Center at Azerbaijan State Academy of Fine Arts;Completion;Representational;Grant;Yes;OOF-like;110;EDUCATION;Hanban (Confucius Institute Headquarters);Government Agency;;;;
65740;Yes;No;China (People's Republic of);Azerbaijan;Asia;2017;Chinese Government provides RMB 22.58 million grant - via a 2016 ETCA - for the provision of irrigation equipment to farm in Nakhichevan Autonomous Republic;Completion;Development;Grant;Yes;ODA-like;310;AGRICULTURE, FORESTRY, FISHING;China Ministry of Commerce;Government Agency;22580000;CNY;3341498.926;3341498.926
66979;Yes;No;China (People's Republic of);Azerbaijan;Asia;2017;Bank of China contributes $21.43 million to $300 million syndicated loan to help Azerbaijan’s state-owned oil company (SOCAR) refinance its liabilities;Pipeline: Commitment;Mixed;Loan;Vague;OOF-like;320;INDUSTRY, MINING, CONSTRUCTION;Bank of China (BOC);State-owned Commercial Bank;21430000;USD;21430000;21430000
54700;Yes;No;China (People's Republic of);Bahamas;America;2017;Chinese Embassy offered government scholarships to 14 Bahamanians for their studies in Chinese universities in the 2017-18 academic year;Completion;Development;Scholarships/training in the donor country;Yes;OOF-like;110;EDUCATION;Chinese Embassy;Government Agency;;;;
54792;Yes;No;China (People's Republic of);Bahamas;America;2017;China donated $50000 to the Bahamas for recovery after Hurrican Irma;Completion;Development;Grant;Yes;OOF-like;720;EMERGENCY RESPONSE;Chinese Embassy;Government Agency;50000;USD;50000;50000
38349;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;China Eximbank provides RMB 569.6 million government concessional loan for Installation of Single Point Mooring (SPM) with Double Pipe Line Project (Linked to Project #53584);Implementation;Development;Loan;Yes;ODA-like;320;INDUSTRY, MINING, CONSTRUCTION;Export-Import Bank of China;State-owned Policy Bank;569664000;CNY;84301667.15;84301667.15
50497;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;China sends 57 tons of relief materials for Rohingya refugees in Bangladesh;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;;;;
53577;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;Chinese Government provides RMB 500 million grant for 9th Bangladesh-China Friendship Bridge Construction Project over the Bogha River;Pipeline: Commitment;Development;Grant;Yes;ODA-like;210;TRANSPORT AND STORAGE;China Ministry of Commerce;Government Agency;500000000;CNY;73992447.44;73992447.44
53584;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;China Eximbank provides a $467.8 million preferential buyer's credit for the Installation of Single Point Mooring (SPM) with Double Pipe Line Project (Linked to Project ID#38349);Implementation;Mixed;Export Buyer's Credit;Yes;OOF-like;320;INDUSTRY, MINING, CONSTRUCTION;Export-Import Bank of China;State-owned Policy Bank;467840000;USD;467840000;467840000
54308;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;China provides disaster rescue equipment to Bangladesh;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Chinese Embassy;Government Agency;;;;
54338;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;China donates 6.004 pieces of agricultural equipment to Bangladesh;Completion;Development;Grant;Yes;ODA-like;310;AGRICULTURE, FORESTRY, FISHING;China Ministry of Agriculture;Government Agency;;;;
54421;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;Chinese Agricultural Experts Assist Bangladesh Agriculturalists;Completion;Development;Free-standing technical assistance;Yes;ODA-like;310;AGRICULTURE, FORESTRY, FISHING;Unspecified Chinese Government Institution;Government Agency;;;;
54494;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;China provides technical assistance to construction of technical institute in Bangladesh;Completion;Development;Free-standing technical assistance;Yes;ODA-like;110;EDUCATION;Unspecified Chinese Government Institution;Government Agency;;;;
54501;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;China sends second round of relief aid for Rohingya refugees in Bangladesh (Linked to #54502);Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;;;;
54502;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;China sends first round of relief aid for Rohingya refugees in Bangladesh (Linked to #54501);Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;;;;
56402;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;China Eximbank provides $1.75 billion loan for 1320 (2 x 600) MW Patuakhali Coal-Fired Thermal Power Plant Project (Linked to Project ID #56005, #52748, #38245, #56357, and #56547);Implementation;Mixed;Loan;Yes;OOF-like;230;ENERGY;Export-Import Bank of China;State-owned Policy Bank;1750000000;USD;1750000000;1750000000
69033;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;Bank of China contributes to syndicated loan for the Unit 3 of the 220 MW Sirajganj Combined Cycle Power Plant Project (Linked to Project ID#56541);Completion;Mixed;Loan;Vague;OOF-like;230;ENERGY;Bank of China (BOC);State-owned Commercial Bank;59180000;USD;59180000;59180000
69221;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;China Grant 560.000 RMB for Road Transport Network Feasibility Study;Pipeline: Commitment;Development;Grant;Yes;ODA-like;320;INDUSTRY, MINING, CONSTRUCTION;Unspecified Chinese Government Institution;Government Agency;560000;CNY;82871.54113;82871.54113
69864;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;China Donates Sports Equipment to  Shanto Mariam Confucius Classroom;Completion;Development;Grant;Yes;ODA-like;110;EDUCATION;Chinese Embassy;Government Agency;;;;
87786;Yes;No;China (People's Republic of);Bangladesh;Asia;2017;China grants $4 million USD through UNDP-China South-South Cooperation Assistance Fund for disaster recovery in Bangladesh;Pipeline: Commitment;Development;Grant;Yes;ODA-like;730;RECONSTRUCTION RELIEF AND REHABILITATION;Unspecified Chinese Government Institution;Government Agency;4000000;USD;4000000;4000000
54831;Yes;No;China (People's Republic of);Barbados;America;2017;China provides grants through ETCAs for Hope Agriculture Training Institute (linked to #72079, #72076, #72077, #72080, and #72080);Implementation;Development;Grant;Yes;OOF-like;310;AGRICULTURE, FORESTRY, FISHING;Unspecified Chinese Government Institution;Government Agency;6073000;BBD;3036500;3036500
54833;Yes;No;China (People's Republic of);Barbados;America;2017;China donates educational equipment worth $9 million BBD to Barbados;Completion;Development;Grant;Yes;OOF-like;110;EDUCATION;Unspecified Chinese Government Institution;Government Agency;9000000;BBD;4500000;4500000
54835;Yes;No;China (People's Republic of);Barbados;America;2017;Second Chinese medical team completes 1-year stint at Queen Elizabeth Hospital in Bridgetown Barbados (linked to #54836, #54834, #71321, #72188);Completion;Development;Free-standing technical assistance;Yes;OOF-like;120;HEALTH;Chongqing Municipal Health Commission;Government Agency;;;;
54858;Yes;No;China (People's Republic of);Barbados;America;2017;China donates 2 AEDs to the Heart and Stroke Foundation of Barbados;Completion;Development;Grant;Yes;OOF-like;120;HEALTH;Chinese Embassy;Government Agency;;;;
63992;Yes;No;China (People's Republic of);Barbados;America;2017;China donates $200.000 of Medical Equipment to QEH in Barbados;Completion;Development;Grant;Yes;OOF-like;120;HEALTH;Unspecified Chinese Government Institution;Government Agency;200000;USD;200000;200000
72081;Yes;No;China (People's Republic of);Barbados;America;2017;China grants funds for UWI Centre for Food Security and Entrepreneurship agricultural park through ETCAs (linked to #72079, #72076, #72077, #54831, and #72080);Implementation;Development;Grant;Yes;OOF-like;310;AGRICULTURE, FORESTRY, FISHING;Unspecified Chinese Government Institution;Government Agency;;;;
72094;Yes;No;China (People's Republic of);Barbados;America;2017;2017 Chinese Ambassador Award granted to Barbadian students (linked to #71825, #72095);Completion;Development;Scholarships/training in the donor country;Yes;OOF-like;110;EDUCATION;Chinese Embassy;Government Agency;10000;BBD;5000;5000
66084;Yes;No;China (People's Republic of);Belarus;Europe;2017;Chinese Government provides RMB 40 million grant for Usha Riverbed Restoration Project;Completion;Development;Grant;Yes;ODA-like;140;WATER SUPPLY AND SANITATION;China Ministry of Commerce;Government Agency;40000000;CNY;5919395.795;5919395.795
66301;Yes;No;China (People's Republic of);Belarus;Europe;2017;China Eximbank provides loan for Phase 2 of BelGee Passenger Car Plant Construction Project (Linked to Project ID#66460);Implementation;Mixed;Loan;Vague;OOF-like;320;INDUSTRY, MINING, CONSTRUCTION;Export-Import Bank of China;State-owned Policy Bank;;;;
66744;Yes;No;China (People's Republic of);Belarus;Europe;2017;China Eximbank provides $71.825 million preferential buyer’s credit for Production of Hydrostatic Transmissions and Industrial Hydraulic Products Project (Linked to Project ID#66745);Pipeline: Commitment;Mixed;Export Buyer's Credit;Yes;OOF-like;320;INDUSTRY, MINING, CONSTRUCTION;Export-Import Bank of China;State-owned Policy Bank;71825000;USD;71825000;71825000
